Frequency,Tone,Location,ST/PR,Call,Use,Dist,"  
  "
  145.110-,127.3,Allenwood,NJ,N2MO,OPEN,32.9,""
  145.110-,123.0,Chappaqua,NY,N2FMC,OPEN,37.0,""
  145.120-,91.5,Newark,NJ,KD2HQY,OPEN,11.9,""
  145.140-,"",Martinsville,NJ,NJ2DG,OPEN,29.6,""
  145.150x,"",Bronx,NY,W2MGF,OPEN,15.1,""
  145.150-,136.5,PortJefferson,NY,W2RC,OPEN,53.0,""
  145.170-,131.8,Manchester,NJ,WA2RES,OPEN,47.5,""
  145.170-,114.8,Pomona,NY,N2ACF,OPEN,36.7,""
  145.180-,"",LakeHopatcong,NJ,NJ2MC,OPEN,37.7,""
  145.190-,77.0,Ansonia,CT,WK1M,OPEN,68.0,""
  145.190-,141.3,Warwick,NY,N2NOG,OPEN,45.8,""
  145.210-,"",Wayne,NJ,W2GT,OPEN,23.3,""
  145.230-,114.8,Bronx,NY,W2CMA,OPEN,15.3,""
  145.230-,114.8,BrooklynHeights,NY,W2CMA,OPEN,2.8,""
  145.250-,100.0,Farmingville,NY,WB2BQW,OPEN,52.6,""
  145.250-,100.0,GreenBrook,NJ,WB2BQW,OPEN,25.1,""
  145.270-,94.8,Corona,NY,WB2ZZO,OPEN,4.0,""
  145.290-,94.8,Manhattan,NY,K2HR,OPEN,5.0,""
  145.310-,100.0,Brooklyn,NY,KB2RQE,OPEN,6.2,""
  145.310-,118.8,Farmingville,NY,K2SPD,OPEN,52.6,""
  145.330-,141.3,DingmansFerry,PA,AA2HA,OPEN,59.6,""
  145.330-,136.5,Hauppauge,NY,WA2LQO,OPEN,43.7,""
  145.350-,114.8,Newark,NJ,"",OPEN,10.2,""
  145.350-,114.8,Rosedale,NY,K2EAR,OPEN,14.3,""
  145.370-,151.4,Morristown,NJ,WS2Q,OPEN,26.7,""
  145.390-,94.8,Mahopac,NY,NY4Z,OPEN,51.5,""
  145.410-,107.2,Elizabeth,NJ,W2JDS,OPEN,10.7,""
