Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,WB2UYR,145.150,-,0.6,TSQL,107.2,107.2,23,NN,FM,5,"",43.2mi away in Hunter NY,"","",""
2,N2TY,145.170,-,0.6,TSQL,127.3,127.3,23,NN,FM,5,"",15.8mi away in Troy NY,"","",""
3,K2CT,145.190,-,0.6,TSQL,103.5,103.5,23,NN,FM,5,"",16.0mi away in Albany NY,"","",""
4,KB1EXR,145.210,-,0.6,TSQL,77.0,77.0,23,NN,FM,5,"",43.1mi away in Adams MA,"","",""
5,WB2BQW,145.250,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",53.5mi away in Egremont MA,"","",""
6,KA1OA,145.270,"",0,TSQL,136.5,136.5,23,NN,FM,5,"",53.1mi away in GreatBarrington MA,"","",""
7,KB1EXR,145.290,-,0.6,TSQL,77.0,77.0,23,NN,FM,5,"",44.6mi away in Lenox MA,"","",""
8,K2CBA,145.310,-,0.6,TSQL,107.2,107.2,23,NN,FM,5,"",27.1mi away in Grafton NY,"","",""
9,K2CWW,145.330,-,0.6,TSQL,107.2,107.2,23,NN,FM,5,"",13.3mi away in NewScotland NY,"","",""
10,NC2C,145.350,-,0.6,TSQL,167.9,167.9,23,NN,FM,5,"",39.2mi away in CherryValley NY,"","",""
11,K2GB,145.370,-,0.6,TSQL,107.2,107.2,23,NN,FM,5,"",37.3mi away in Salem NY,"","",""
12,WA1ZMS,145.390,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",49.9mi away in Manchester VT,"","",""
13,WB2BGI,145.430,-,0.6,TSQL,156.7,156.7,23,NN,FM,5,"",19.3mi away in MiddleGrove NY,"","",""
14,W1EQX,145.450,-,0.6,TSQL,107.2,107.2,23,NN,FM,5,"",41.0mi away in Jewett NY,"","",""
15,KC1EB,145.490,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",45.0mi away in NorthAdams MA,"","",""
16,KC2YXS,145.600,"",0,TSQL,107.2,107.2,23,NN,FM,5,"",61.4mi away in Poultney VT,"","",""
17,WA2ZWM,146.610,-,0.6,TSQL,123.0,123.0,23,NN,FM,5,"",27.3mi away in Cobleskill NY,"","",""
18,NC2C,146.640,-,0.6,TSQL,107.2,107.2,23,NN,FM,5,"",48.5mi away in Cooperstown NY,"","",""
19,K2QY,146.640,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",29.5mi away in Glenmont NY,"","",""
20,K2JJI,146.700,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",24.7mi away in Gloversville NY,"","",""
21,KC1AJX,146.715,-,0.6,TSQL,77.0,77.0,23,NN,FM,5,"",50.1mi away in GreatBarrington MA,"","",""
22,KB1EXR,146.715,-,0.6,TSQL,77.0,77.0,23,NN,FM,5,"",41.5mi away in Pittsfield MA,"","",""
23,W2WCR,146.730,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",44.4mi away in LakeGeorge NY,"","",""
24,KB2DYB,146.745,-,0.6,TSQL,210.7,210.7,23,NN,FM,5,"",35.6mi away in Cairo NY,"","",""
25,K2NK,146.745,-,0.6,TSQL,107.2,107.2,23,NN,FM,5,"",60.3mi away in Dehli NY,"","",""
26,K2REN,146.760,-,0.6,TSQL,103.5,103.5,23,NN,FM,5,"",15.8mi away in Troy NY,"","",""
27,N2ZTC,146.775,-,0.6,TSQL,123.0,123.0,23,NN,FM,5,"",44.8mi away in Hebron NY,"","",""
28,W2IR,146.790,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",8.7mi away in Glenville NY,"","",""
29,K1SV,146.835,-,0.6,TSQL,100.0,100.0,23,NN,FM,5,"",38.8mi away in Shaftsbury VT,"","",""
30,K1FFK,146.910,-,0.6,TSQL,162.2,162.2,23,NN,FM,5,"",43.1mi away in Adams MA,"","",""
