Location,Frequency,Name,Tone Mode,cToneFreq,rToneFreq,DTCS Code,DTCS Pol,Duplex,Offset,Mode,Tune Step,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,146.61,N2MPE,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Rochester,CobbsHill, NY - 1.8mi NNW of 14618","","",""
1,29.68,N2HJD,TSQL,123.0,123.0,023,NN,-,0.1,FM,5,"","Rochester, NY - 3.2mi NNE of 14618","","",""
2,53.63,WR2AHL,(None),88.5,88.5,023,NN,-,1.0,FM,5,"","Rochester, NY - 4.0mi NW of 14618","","",""
3,53.43,WR2AHL,(None),88.5,88.5,023,NN,-,1.0,FM,5,"","Rochester, NY - 4.0mi NW of 14618","","",""
4,53.33,N2HJD,TSQL,123.0,123.0,023,NN,-,1.0,FM,5,"","Rochester, NY - 4.0mi NW of 14618","","",""
5,444.4,W2RFC,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Rochester, NY - 4.0mi NW of 14618","","",""
6,444.85,WB2KAO,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Rochester, NY - 4.0mi NW of 14618","","",""
7,224.58,N2HJD,TSQL,110.9,110.9,023,NN,-,1.6,FM,5,"","Rochester, NY - 4.0mi NW of 14618","","",""
8,146.79,K2SA,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Rochester, NY - 4.2mi NW of 14618","","",""
9,146.88,K2RRA,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Rochester,MonroeCountyEOCBuilding, NY - 4.2mi NW of 14618","","",""
10,146.925,N2HJD,TSQL,110.9,110.9,023,NN,+,0.6,FM,5,"","Rochester, NY - 4.2mi NW of 14618","","",""
11,444.7,N2HJD,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Rochester,SenicaTowers, NY - 4.2mi NW of 14618","","",""
12,442.8,N2HJD,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Rochester, NY - 5.7mi NW of 14618","","",""
13,444.8,KB2VZS,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Fairport, NY - 5.9mi SE of 14618","","",""
14,147.075,K2GXT,TSQL,110.9,110.9,023,NN,+,0.6,FM,5,"","Rochester,RIT, NY - 6.0mi WSW of 14618","","",""
15,442.0745,K2GXT,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Rochester,RIT, NY - 6.0mi WSW of 14618","","",""
16,444.9,N2BZX,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Fairport, NY - 8.6mi SE of 14618","","",""
17,146.715,KB2VZS,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Perinton,BakerHill, NY - 8.7mi SE of 14618","","",""
18,145.41,N2HJD,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Victor,BakerHill, NY - 8.8mi SE of 14618","","",""
19,146.76,WR2AHL,(None),88.5,88.5,023,NN,-,0.6,FM,5,"","Chili, NY - 11.0mi WSW of 14618","","",""
20,442.925,N2HJD,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Macedon, NY - 11.6mi SE of 14618","","",""
21,147.18,W1YX,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Macedon, NY - 11.6mi SE of 14618","","",""
22,444.825,W2XRX,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","NorthChili, NY - 12.6mi W of 14618","","",""
23,442.9,"",TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","EastBloomfeild, NY - 16.4mi SSE of 14618","","",""
24,146.94,W2HYP,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Avon, NY - 17.0mi SW of 14618","","",""
25,29.62,WR2AHL,(None),88.5,88.5,023,NN,-,0.1,FM,5,"","Avon, NY - 17.0mi SW of 14618","","",""
26,224.68,W2IMT,TSQL,110.9,110.9,023,NN,-,1.6,FM,5,"","Bristol, NY - 19.8mi SSE of 14618","","",""
27,147.225,N2HJD,TSQL,110.9,110.9,023,NN,+,0.6,FM,5,"","Brockport, NY - 20.9mi WNW of 14618","","",""
28,146.82,K2BWK,TSQL,110.9,110.9,023,NN,-,0.6,FM,5,"","Canandaigua, NY - 21.5mi SE of 14618","","",""
29,146.745,WA2AAZ,TSQL,71.9,71.9,023,NN,-,0.6,FM,5,"","Newark,WaterTower, NY - 23.7mi SE of 14618","","",""
30,443.5,K2BWK,(None),88.5,88.5,023,NN,+,5.0,FM,5,"","Hemlock, NY - 23.8mi S of 14618","","",""
31,147.375,K2BWK,(None),88.5,88.5,023,NN,+,0.6,FM,5,"","Hemlock, NY - 23.8mi S of 14618","","",""
32,444.75,WA2EMO,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Arcadia,BrantlingSki, NY - 24.2mi ESE of 14618","","",""
33,443.25,N2MKT,TSQL,110.9,110.9,023,NN,+,5.0,FM,5,"","Newark, NY - 24.2mi SE of 14618","","",""
